stop_id,stop_name
1074,Sheridan & Wellington
1075,Sheridan & Oakdale
1076,Sheridan & Surf
1077,Sheridan & Diversey
1078,Stockton & Wrightwood
1079,Stockton & Roslyn
1080,Stockton & Arlington
1081,Stockton & Fullerton
1082,Stockton & Webster
1083,Stockton & Dickens
1084,Stockton & Armitage
1085,Stockton & Lincoln
1086,Stockton & LaSalle
1087,Lake Shore & North Ave
1088,Lake Shore & Burton
1089,Lake Shore & Schiller
1090,Lake Shore & Banks
1091,Lake Shore & Goethe
1092,Lake Shore & Scott
1093,Lake Shore & Division
1094,Lake Shore & Elm
1095,Lake Shore & Cedar
1096,Lake Shore & Oak
1097,Michigan & Delaware
1098,Michigan & Pearson
1100,Michigan & Erie
1101,Michigan & Ohio
1102,Michigan & Illinois
1103,Michigan & Hubbard (Wrigley Bldg.)
1104,Michigan & South Water
1105,Michigan & Lake/Randolph
1106,Michigan & Washington
1108,Adams & S. Wacker
1110,Michigan & Jackson
1111,Ida B Wells Drive & Wabash
1113,State & Van Buren
1115,State & Adams
1117,State & Madison
1119,Michigan & Randolph
1120,Michigan & South Water
1121,Michigan & E. Wacker
1122,Michigan & Hubbard (Tribune Bldg.)
1123,Michigan & Grand
1124,Michigan & Ontario
1125,Michigan & Huron
1126,Michigan & Chicago
1127,Michigan & Chestnut
1128,Michigan & Delaware/Walton
1129,Michigan & Oak
1130,Lake Shore & Cedar
1131,Lake Shore & Elm
1132,Lake Shore & Division
1133,Lake Shore & Scott
1134,Lake Shore & Goethe
1135,Lake Shore & Banks
1136,Lake Shore & Schiller
1137,Lake Shore & Burton
1138,Lake Shore & North Ave
1139,Stockton & LaSalle
1140,Stockton & Lincoln
1141,Stockton & Armitage
1142,Stockton & Dickens
1143,Stockton & Webster
1144,Stockton & Fullerton
1145,Stockton & Arlington
1146,Stockton & Roslyn
1147,Stockton & Wrightwood
1148,Sheridan & Diversey
1149,Sheridan & Surf
1150,Sheridan & Oakdale
1151,Sheridan & Wellington
1152,Sheridan & Barry
1153,Sheridan & Briar
1154,Sheridan & Belmont
1155,Sheridan & Belmont
1157,Lake Shore & Roscoe
1159,Lake Shore & Stratford
1160,Lake Shore & Cornelia
1161,Lake Shore & Brompton
1162,Lake Shore & Addison
1163,Lake Shore & Waveland
1164,Lake Shore & W. Sheridan (3900 N)
1165,Sheridan & Pine Grove
1166,Sheridan & Broadway
1167,Sheridan & Fremont
1168,Sheridan & Byron
1169,Sheridan & Dakin
1170,Sheridan & Irving Park
1171,Sheridan & Belle Plaine
1173,4225 N Sheridan
1174,Sheridan & Broadway/Montrose
1175,Sheridan & Montrose
1176,Sheridan & Sunnyside
1177,Sheridan & Wilson
1178,Sheridan & Leland
1179,Sheridan & Lawrence
